question,ground_truth
부산관광공사경영정보시스템 사업의 주관 부서는 어디입니까?,전략기획팀입니다.
부산관광공사경영정보시스템 사업의 총 사업 기간은 며칠입니까?,계약일로부터 90일입니다.
부산관광공사경영정보시스템의 복무관리 개선(SFR-001-01)의 세부 요구사항 중 휴가관리는 어떻게 개선되어야 합니까?,"휴가 신청을 시간 단위(1일=8시간)로 변경해야 하고, 외출/조퇴 사용 시간이 8시간 누적되면 병가 1일 사용으로 반영해야 합니다. 또한 장기근속휴가 구분을 추가해야 합니다."
부산관광공사경영정보시스템 사업의 제안서 평가를 수행할 평가위원의 명단이 공개되어 있습니까?,"아니요, 제안요청서에 따르면 평가위원회는 발주기관이 선임하는 위원들로 구성하고 그 명단은 비공개로 한다고 명시되어 있습니다."
부산관광공사 경영정보시스템 기능개선' 사업과 '대한장애인체육회 전국장애인체육대회 전산 유지·보수' 사업의 사업 기간 책정 방식을 비교 설명해주십시오.,부산관광공사 경영정보시스템 기능개선' 사업은 '계약일로부터 90일'로 명확한 일수 단위로 사업 기간이 책정되어 있습니다. 반면 '대한장애인체육회 전국장애인체육대회 전산 유지·보수' 사업은 '계약일 ~ 2025년 12월'로 종료 시점이 특정 날짜로 정해져 있어 계약 체결일에 따라 전체 수행 일수가 달라질 수 있습니다.
대한장애인체육회2025년 전국장애인체육대회 전산 및 시스템 사업의 명칭은 무엇입니까?,"2025년 전국장애인체육대회 전산 및 시스템, 홈페이지 유지·보수 용역'입니다."
대한장애인체육회2025년 전국장애인체육대회 전산 및 시스템 사업에 배정된 예산은 얼마입니까?,"220,000,000원(부가세 포함)으로 예정되어 있습니다."
대한장애인체육회2025년 전국장애인체육대회 전산 및 시스템 사업 내용 중 '통합정보센터 운영 및 유지보수'의 주요 과업은 무엇입니까?,"주요 과업은 통합정보시스템의 안정적인 운영, 전국장애인체육대회 시스템과의 연동, 선수 실적 및 등급 이력 관리, 데이터 검증 및 통일화, 본인인증(NICE) 및 원격지원서비스 비용 부담, 사용자 지원, 신규 종목 데이터 생성, SSL 인증서 관리 등을 포함합니다."
대한장애인체육회2025년 전국장애인체육대회 전산 및 시스템 사업에서 하도급 계약이 허용됩니까?,"아니요, 과업지시서에 본 사업은 하도급을 불허한다고 명시되어 있습니다."
'대한장애인체육회'의 용역과 '한국철도공사'의 용역에서 사업 결과물에 대한 지식재산권 귀속 정책은 어떻게 다릅니까?,"한국철도공사' 용역의 경우, 결과물의 지식재산권은 발주기관과 계약상대자가 공동으로 소유하는 것을 원칙으로 합니다. 반면, '대한장애인체육회' 용역에서는 결과물에 대한 지식재산권 일체를 발주기관(대한장애인체육회)이 소유한다고 명시하여 차이가 있습니다."
한국철도공사예약발매시스템 개량 ISMP 용역 사업의 계약 방법은 무엇입니까?,제한경쟁입찰 / 협상에 의한 계약입니다.
한국철도공사예약발매시스템 개량 ISMP 용역 사업의 총 사업비는 얼마입니까?,총 사업비는 470백만원 (VAT포함)입니다.
한국철도공사예약발매시스템 개량 ISMP 용역 사업 범위 중 '정보시스템 아키텍처 및 정보기술 요건 분석'에서 수행해야 할 과업은 무엇입니까?,요구사항 연관표와 정보시스템 요건 기술서 등 산출물을 도출해야 합니다.
한국철도공사예약발매시스템 개량 ISMP 용역 사업의 제안서 평가를 위한 제안발표가 진행됩니까?,"아니요, 본 사업은 제안발표는 없으며 제안서로만 서면평가 합니다."
