question_id,document_id,question_type,question,answer_extractive,ground_truth
Q001,RFP-2024-KORAIL-ISMP-01,Simple_Fact,예약발매시스템 개량 ISMP 용역의 공식 사업명은 무엇입니까?,1. 사업명: 예약발매시스템 개량 ISMP 용역,이 용역의 공식 사업명은 '예약발매시스템 개량 ISMP 용역'입니다.
Q002,RFP-2024-KORAIL-ISMP-01,List_Summary,예약발매시스템 개량 ISMP 용역의 추진 배경 3가지는 무엇입니까?,"1.'15년 시스템 개선 후 '17년, '20년에 하드웨어만 개량하여 노후화와 운용 효율 저하. 2. IT운영센터 신축, SR 시스템 분리. 3. MaaS AI·빅데이터 등 산업 동향 대응 예약발매 플랫폼 전략 부재.","이 용역의 추진 배경은 시스템 노후화 및 운용 효율 저하, IT운영센터 신축 및 SR 시스템 분리, 그리고 MaaS, AI, 빅데이터 등 산업 동향에 대응할 플랫폼 전략 부재입니다."
Q003,RFP-2024-KORAIL-ISMP-01,Yes_No,예약발매시스템 개량 ISMP 용역 사업의 제안요청 설명회가 개최됩니까?,1. 제안요청 설명회 : 해당 없음,"아니오, 이 사업의 제안요청 설명회는 해당 사항이 없습니다."
Q004,RFP-2024-KORAIL-ISMP-01,Negative,예약발매시스템 개량 ISMP 용역의 제안서 평가 시 가격평가의 비중은 몇 퍼센트입니까?,,문서 내에서 관련 정보를 찾을 수 없음.
Q005,RFP-2024-KORAIL-ISMP-01,List_Summary,예약발매시스템 개량 ISMP 용역의 기술제안서의 '제안 개요' 목차에 포함되어야 할 항목들은 무엇입니까?,1. 제안요구사항 수용 조견표 2. 제안 목적 및 범위 3. 제안 특징 및 장점 4. 기대효과,"기술제안서의 '제안 개요'에는 '제안요구사항 수용 조견표', '제안 목적 및 범위', '제안 특징 및 장점', '기대효과'가 포함되어야 합니다."
Q001,대한장애인체육회_2025년전국장애인체육대회전산및시스템,Simple_Fact,"2025년 전국장애인체육대회 전산 및 시스템, 홈페이지 유지·보수 용역의 배정예산은 얼마입니까?","□ 배정예산 : 220,000,000원 예정(부가세 포함)","배정예산은 220,000,000원 예정(부가세 포함)입니다."
Q002,대한장애인체육회_2025년전국장애인체육대회전산및시스템,List_Summary,"2025년 전국장애인체육대회 전산 및 시스템, 홈페이지 유지·보수 용역이 추진되는 주요 필요성은 무엇입니까?","○ 전국장애인체육대회(동계, 학생, 하계) 운영을 위한 시스템 및 홈페이지 안정성 확보 ○ 각종 다양한 외부정보 제공 및 자료요구에 대한 대응 능력 강화 ○ 각종 데이터 검색 및 정보조회 등 각종 정보 제공 및 관리의 편의성과 편리성 도모 ○ 스포츠지원 포탈 운영을 통해 선수데이터 검색 및 통계자료 조회기능 제공 및 일반인들이 접근 가능한 체육회 관련 사이트 접근용이 ○ 신규종합점수체계 적용 설계(안) 마련을 위한 정보 제공 수집 필요","이 용역의 추진 필요성은 시스템과 홈페이지의 안정성 확보, 외부 정보와 자료 요구에 대한 대응 능력 강화, 데이터 검색 및 관리 편의성 향상, 스포츠지원 포탈을 통한 선수 데이터와 통계 조회 제공, 그리고 신규 종합점수체계 설계(안) 마련을 위한 정보 수집 필요성입니다."
Q003,대한장애인체육회_2025년전국장애인체육대회전산및시스템,Yes_No,"2025년 전국장애인체육대회 전산 및 시스템, 홈페이지 유지·보수 용역은 협상에 의한 계약으로 추진됩니까?",□ 사업추진방식 : 협상에 의한 계약,네. 이 용역은 협상에 의한 계약으로 추진됩니다.
Q004,대한장애인체육회_2025년전국장애인체육대회전산및시스템,Negative,"2025년 전국장애인체육대회 전산 및 시스템, 홈페이지 유지·보수 용역의 수행기관은 어디입니까?",,문서 내에서 관련 정보를 찾을 수 없음.
Q005,대한장애인체육회_2025년전국장애인체육대회전산및시스템,Simple_Fact,"2025년 전국장애인체육대회 전산 및 시스템, 홈페이지 유지·보수 용역의 사업기간은 언제까지입니까?",□ 사업기간 : 계약일 ~ 2025년 12월,이 용역의 사업기간은 계약일부터 2025년 12월까지입니다.
