id,question,ground_truth
1,예약발매시스템 개량 ISMP 용역 사업 발주 기관은 어디인가요?,예약발매시스템 개량 ISMP 용역 사업 발주 기관은 한국철도공사 입니다.
2,한국철도공사 예약발매시스템 개량 ISMP 용역 사업의 주요 요구사항을 요약해줄 수 있나요?,본 과업은 예약발매시스템의 개량을 통해 ▲ 안정적 운영 ▲ 성능 개선 ▲ 장애 대응 체계 강화 ▲ 보안성 확보 ▲ 신규 서비스 요구 반영 등을 포함합니다.
3,한국철도공사 예약발매시스템 개량 ISMP 용역에서 요구되는 PM 자격 조건과 일반 참여 인력 조건은 어떻게 다른가요?,"PM은 정보처리기사 이상 자격증 보유 및 10년 이상 경력, 유사 프로젝트 관리 경험을 요구하며, 일반 참여 인력은 관련 분야 학위 및 3~5년 이상의 실무 경험을 요구합니다."
4,한국철도공사 예약발매시스템 개량 ISMP 용역과 유사한 사업을 추천해줄 수 있나요?,"본 사업과 유사한 사례로는 다른 공공기관의 승차권 발매 시스템 개선 용역, 교통·철도 정보화시스템 고도화 사업 등이 있습니다."
5,한국철도공사 예약발매시스템 개량 ISMP 용역에서 제안사가 제출해야 하는 보안 준수 관련 사항은 무엇인가요?,"제안사는 「정보보호 관리지침」을 준수해야 하며, 보안계획서 제출, 개인정보 보호대책, 네트워크·서버 보안 강화 방안을 반드시 포함해야 합니다."
6,"대한장애인체육회 2025년 전국장애인체육대회 전산 및 시스템, 홈페이지 유지·보수 용역의 배정 예산은 얼마입니까?","배정예산은 220,000,000원(부가세 포함) 예정임"
7,"대한장애인체육회 2025년 전국장애인체육대회 전산 및 시스템, 홈페이지 유지·보수 용역의 사업 추진 배경과 목표를 요약해 주세요.","전국장애인체육대회 운영 안정성 확보, 외부 정보 제공 대응 강화, 데이터 관리 편의성 증대, 스포츠지원 포털을 통한 선수·통계 데이터 활용, 신규 종합점수체계 설계를 위한 기반 마련 등이 목표임"
8,"대한장애인체육회 2025년 전국장애인체육대회 전산 및 시스템, 홈페이지 유지·보수 용역에서 참가신청 시스템과 경기기록 시스템을 비교하면 어떤 차이가 있습니까?","참가신청 시스템은 대회별 참가요강을 적용해 선수·임원 신청 등록을 지원하며, 경기기록시스템은 종목별 경기 규칙을 적용해 경기결과 집계, 채점, 등록카드 및 상장 발급을 수행함"
9,"대한장애인체육회 2025년 전국장애인체육대회 전산 및 시스템, 홈페이지 유지·보수 용역과 유사한 사업을 수행하고자 할 때 참고할 만한 관련 시스템이나 서비스는 무엇입니까?","유사사업 범위로는 정보시스템 유지·운영 및 보수 관련 사업이 있으며, 특히 통합정보센터, 스포츠지원포털, e-book 서비스 운영 사례가 참고 가능함"
10,"대한장애인체육회 2025년 전국장애인체육대회 전산 및 시스템, 홈페이지 유지·보수 용역의 입찰 방식은 무엇입니까?","입찰방식은 제한경쟁입찰이며, 사업자 선정은 협상에 의한 계약으로 진행됨"
11,부산관광공사 경영정보시스템 기능개선 사업의 총 사업금액은 얼마입니까?,"사업금액: 금109,000,000원 (일억구백만원, 부가가치세 포함)"
12,부산관광공사 경영정보시스템 기능개선 사업의 내용을 요약해 주세요.,"사업목적은 업무환경 변화에 맞춘 기능개선으로 효율적 업무처리 지원. 범위는 현행 경영정보시스템 기능 최적화, 상용 SW 최적화·품질관리·기술지원, 사용자 교육. 기대효과는 사용자 요구 반영, 수작업 최소화, 업무환경에 맞는 운영·관리 효율성 제고."
13,부산관광공사 경영정보시스템 기능개선 사업에서 요구되는 주요 기능과 기존 시스템의 차이점을 비교해 주세요.,"기존 시스템: 그룹웨어(e-Gate EIP v5.0), 업무프로그램(NETRA R2), 메신저, 전자결재 등. 요구기능: 복무·인사·교육·예산·계약·재무회계·물품관리 등 12개 분야의 세부 개선(예: 휴가관리 시간 단위, 영문 증명서 출력, 카드매출 자동연동 등). ⇒ 차이점은 세분화된 업무 기능 최적화와 자동화, 데이터 표준화 및 보안 강화."
14,부산관광공사 경영정보시스템 기능개선 사업과 유사한 다른 정보시스템 개선 사업을 추천해 주세요.,"문서에서 직접 다른 사업을 제시하지는 않으나, 유사 참고 시스템으로 공공기관 경영정보시스템(MIS) 개선·최적화 사업, 전자정부 웹사이트 품질관리 지침 준수 사업, 지방공기업 ERP·그룹웨어 최적화 사업 등이 제시 기준과 요구사항(데이터 표준화, 보안, 품질관리)에 따라 참고 가능."
15,부산관광공사 경영정보시스템 기능개선 사업의 제안서 평가 기준은 어떻게 되나요?,"평가방식: 기술능력평가(90%) + 가격평가(10%). - 정량평가(20점): 수행실적(6), 기술인력(6), 경영상태(4), 신인도(4). - 정성평가(70점): 전략·방법론(10), 기술 및 기능(20), 성능 및 품질(15), 프로젝트 관리(10), 프로젝트 지원(15). 평가위원회가 점수 산출, 최고/최저 제외 후 평균."
